"filename", "language", "JSON with Comments", "TypeScript", "JSON", "JavaScript", "Markdown", "XML", "PostCSS", "TypeScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\User\Documents\MyProjects\beats\beats-health-platform-v1\components\ui\use-toast.ts", "TypeScript", 0, 157, 0, 0, 0, 0, 0, 0, 0, 3, 32, 192
"c:\Users\User\Documents\MyProjects\beats\beats-health-platform-v1\lib\utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\User\Documents\MyProjects\beats\beats-health-platform-v1\next.config.mjs", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 2, 15
"c:\Users\User\Documents\MyProjects\beats\beats-health-platform-v1\package.json", "JSON", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 73
"c:\Users\User\Documents\MyProjects\beats\beats-health-platform-v1\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 3635, 0, 728, 4363
"c:\Users\User\Documents\MyProjects\beats\beats-health-platform-v1\postcss.config.mjs", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 2, 10
"c:\Users\User\Documents\MyProjects\beats\beats-health-platform-v1\public\placeholder-logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Documents\MyProjects\beats\beats-health-platform-v1\public\placeholder.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Documents\MyProjects\beats\beats-health-platform-v1\styles\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 4, 93
"c:\Users\User\Documents\MyProjects\beats\beats-health-platform-v1\tailwind.config.ts", "TypeScript", 0, 95, 0, 0, 0, 0, 0, 0, 0, 1, 3, 99
"c:\Users\User\Documents\MyProjects\beats\beats-health-platform-v1\tsconfig.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 27, 411, 94, 19, 18, 2, 178, 6137, 3635, 110, 1200, 11831
